example_id,segment,channel,persona,tone,constraints_json,ideal_copy,generated_copy,violation_code,violation_desc,hashtags,eval_readability_grade,eval_tone_match,eval_compliance_ok,impressions,clicks,conversions,ctr,cvr,cpa
EX0010,Terrific Tacos,Email,budget-conscious student,friendly,"{'tone': 'friendly', 'persona': 'budget-conscious student', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","Your go-to, delivered with care. Dinner, simplified. Fresh flavors, fast prep. Read the full guide. Terms apply.","Your go-to, delivered with care. Dinner, simplified. Fresh flavors, fast prep. Read the full guide. Terms apply.",,,"#OnTheGo,#PetParent,#BurgerNight",8.4,0.87,1,113036,11737,565,0.1038,0.0482,6.64
EX0011,Weekend Adventurers,TikTok,budget-conscious student,warm,"{'tone': 'warm', 'persona': 'budget-conscious student', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","Small change, big smile. Pack light, move freely. Gear that goes where you go. Tap to learn more. #Ad","Small change, big smile. Pack light, move freely. Gear that goes where you go. Tap to learn more. #Ad",,,"#EverydayGear,#BurgerNight,#WeekendReady",7.9,0.95,1,15594,611,41,0.0392,0.0673,416.81
EX0012,Urban Commuters,Email,budget-conscious student,upbeat,"{'tone': 'upbeat', 'persona': 'budget-conscious student', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}",Ideas to make today smoother. Built for busy mornings. Practical comfort all week. Read the full guide. Terms apply.,Ideas to make today smoother. Built for busy mornings. Practical comfort all week. Read the full guide. Terms apply.,,,"#TacoTuesday,#WeekendReady,#EverydayGear",8.9,0.82,1,40604,4408,51,0.1086,0.0116,51.68
EX0013,Weekend Adventurers,Instagram,pet-loving family,playful,"{'tone': 'playful', 'persona': 'pet-loving family', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","Fresh picks for everyday routines. Pack light, move freely. Gear that goes where you go. See more in our link. #Ad","Fresh picks for everyday routines. Pack light, move freely. Gear that goes where you go. See more in our link. #Ad",,,"#SmartChoice,#WeekendReady,#BurgerNight",9.4,0.78,1,141719,2981,160,0.021,0.0538,99.3
EX0014,Best Burgers,Instagram,fitness enthusiast,upbeat,"{'tone': 'upbeat', 'persona': 'fitness enthusiast', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","Fresh picks for everyday routines. Burger night, made easy. Simple, satisfying, reliable. See more in our link. #Ad","Fresh picks for everyday routines. Burger night, made easy. Simple, satisfying, reliable. See more in our link. #Ad",,,"#PetParent,#OnTheGo,#WeekendReady",8.8,0.97,1,274382,7225,443,0.0263,0.0613,21.77
EX0015,Best Burgers,Instagram,budget-conscious student,friendly,"{'tone': 'friendly', 'persona': 'budget-conscious student', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","Made for your kind of day. Burger night, made easy. Simple, satisfying, reliable. See more in our link. #Ad","Made for your kind of day. Burger night, made easy. Simple, satisfying, reliable. See more in our link. #Ad",,,"#WeekendReady,#TacoTuesday,#PetParent",7.7,0.77,1,284918,4794,211,0.0168,0.0442,37.7
EX0016,Best Burgers,TikTok,young professional,warm,"{'tone': 'warm', 'persona': 'young professional', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}","Quick wins for busy days. Burger night, made easy. Simple, satisfying, reliable. Tap to learn more. #Ad","Quick wins for busy days. Burger night, made easy. Simple, satisfying, reliable. Tap to learn more. #Ad",,,"#SmartChoice,#EverydayGear,#PetParent",8.4,0.85,1,44479,1190,73,0.0268,0.0621,217.88
EX0017,Urban Commuters,TikTok,budget-conscious student,practical,"{'tone': 'practical', 'persona': 'budget-conscious student', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}",Quick wins for busy days. Built for busy mornings. Practical comfort all week. Tap to learn more. #Ad,Quick wins for busy days. Built for busy mornings. Practical comfort all week. Tap to learn more. #Ad,,,"#OnTheGo,#WeekendReady,#BurgerNight",8.7,0.95,1,153224,5498,227,0.0359,0.0414,54.26
EX0018,Urban Commuters,Instagram,pet-loving family,playful,"{'tone': 'playful', 'persona': 'pet-loving family', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}",Made for your kind of day. Built for busy mornings. Practical comfort all week. See more in our link. #Ad,Made for your kind of day. Built for busy mornings. Practical comfort all week. See more in our link. #Ad,,,"#TacoTuesday,#EverydayGear,#PetParent",9.3,0.76,1,83337,1770,72,0.0212,0.0407,115.64
EX0019,Urban Commuters,Instagram,fitness enthusiast,upbeat,"{'tone': 'upbeat', 'persona': 'fitness enthusiast', 'avoid': ['guarantees', 'medical claims', 'minors with large pets', 'price superlatives'], 'disclosure': ""#Ad for social; 'Terms apply' for promotions"", 'length_hint': '1–2 sentences'}",Little comforts that go a long way. Built for busy mornings. Practical comfort all week. See more in our link. #Ad,Little comforts that go a long way. Built for busy mornings. Practical comfort all week. See more in our link. #Ad BEST EVER!!!!,P-BRAND,brand voice violation (all caps/excessive punctuation),"#TacoTuesday,#PetParent,#EverydayGear",6.9,0.77,0,284219,6519,519,0.0229,0.0797,36.38
